,,,,http://commaoil.com.ua/index.php?chapter=oil-selection,,,,,
,,,,,,,,,
,НАЙМЕНУВАННЯ,ІНДЕКС NAVISION,РІВЕНЬ ЕКСПЛУАТАЦІЙНИХ ЯКОСТЕЙ,,ТАРА,Індекс на сайті Comma,Опис,,
,,,,,,,,,
,,,,,,,,,
,"МАСТИЛА ДЛЯ ЛЕГКОВИХ АВТОМОБІЛІВ, МІКРОАВТОБУСІВ ТА ЛЕГКИХ ВАНТАЖІВОК",,,,,,,,
,PROLIFE 5W-30,PROLIFE 5W30 205L,"Синтетичне моторне мастило                                                                                               Допуски виробників: VW 504.00/507.00, MB 229.51, BMW LONGLIFE 2004,                             porsche C30
Сервісна класифікація: ACEA C3",,205L,PRO205L,"Полностью синтетическое высокоэффективное масло 5W-30 с низким уровнем сульфатной зольности и низким содержанием фосфора и серы для современных автомобилей группы VW-Audi с бензиновыми и дизельными двигателями, в том числе с увеличенным межсервисным интервалом. Обеспечивает одновременную защиту блоков доочистки выхлопных газов.
Не смешивайте это масло с другими типами масел. В противном случае длительный срок службы и защита устройства дополнительной очистки выхлопных газов не может быть гарантировано.

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. VW 504 00, VW 507 00; MB 229.51; BMW LL-04; PORSCHE C30; ACEA C3",,
,,PROLIFE 5W30 20L,,,20L,PRO20L,,,
,,PROLIFE 5W30 5L,,,5L,PRO5L,,,
,,PROLIFE 5W30 4L,,,4L,PRO4L,,,
,,PROLIFE 5W30 1L,,,1L,PRO1L,,,
,ECOLIFE 5W-30,ECOLIFE 5W30 SYNT. 5L,"Синтетичне моторне мастило                                                                                               Допуски виробників: FORD WSS-M2C934-B
Сервісна класифікація: ACEA C1",,5L,ECL5L,"Полностью синтетическое высокоэффективное масло 5W-30 с низким уровнем сульфатной зольности и низким содержанием фосфора и серы для современных автомобилей с бензиновыми и дизельными двигателями, в том числе оборудованных системами доочистки выхлопных газов, для которых предусмотрено масло класса ACEA C1.
Не смешивайте это масло с другими типами масел. В противном случае защита устройства дополнительной очистки выхлопных газов не может быть гарантировано.

Comma рекомендует использовать данный продукт в перечисленных ниже случаях. FORD WSS-M2C934-B; ACEA C1",,
